Job Category:,Number of Positions:,Job Location:,Staffing Area:,Contact:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Closing Date:,Total Remuneration Package:,FTE:,Organisation/Entity:,job_title
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region / Sydney - West,,,,,https://iworkfor.nsw.gov.au/job/state-wide-outreach-perinatal-service-clinical-lead-swopsmh-111086,Full-Time,REQ42273,22/05/2018 - 11:59 PM,"$118,257.51 - $120,454.23",,Western Sydney Local Health District,State wide Outreach Perinatal Service Clinical Lead - SwOPSMH
Health - Allied | Medical Imaging,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,,,,https://iworkfor.nsw.gov.au/job/sonographer-radiographer-level-3-grade-3-ballina-111073,Full-Time,REQ39777,30/05/2018 - 11:59 PM,"$115,481.61 - $115,481.61",,Northern NSW Local Health District,Sonographer / Radiographer Level 3 Grade 3 - Ballina
Accounting and Financial,1,Sydney Region / Sydney - North/North West,,02 9462 6149 - Rajesh Goriani,,,https://iworkfor.nsw.gov.au/job/accountant-111070,Full-Time,000066GI,30/05/2018 - 11:59 PM,"RMS USS Grade 9 ($106,419 - $114,402), plus employer's contribution to superannuation and annual leave loading.",,Finance & Investment,Accountant
Health - Allied | Clinical Psychologist,2,Sydney Region / Sydney - West,,,,,https://iworkfor.nsw.gov.au/job/clinical-psychologist-swslhd-out-of-home-care-whole-family-team-perm-f-t-or-p-t-110573,Various,REQ30569,24/05/2018 - 11:59 PM,"$92,565.00 - $113,518.00",,South Western Sydney Local Health District,Clinical Psychologist (SWSLHD) - Out of Home Care/Whole Family Team - Perm F/T or P/T
Schools | TCH Other,1,Illawarra & South Coast,Queanbeyan,02 4821 4499 - judith Stuart,Mulwaree High School,Southern Tablelands,https://iworkfor.nsw.gov.au/job/head-teacher-special-education-mulwaree-high-school-110976,,000061A5,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher Special Education - Mulwaree High School
Schools | TCH Other,1,Sydney Region,Parramatta,02 9639 8699 - Wayne Humphreys,Baulkham Hills High School,The Hills,https://iworkfor.nsw.gov.au/job/head-teacher-welfare-baulkham-hills-high-school-110977,,0000659E,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher Welfare - Baulkham Hills High School
Schools | TCH Other,1,Sydney Region,Bankstown,02 9773 9160 - Mrs Jennifer Hardwick,East Hills Girls Technology High School,Glenfield,https://iworkfor.nsw.gov.au/job/head-teacher-administration-east-hills-girls-technology-high-school-110980,,000062NB,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher Administration - East Hills Girls Technology High School
Schools | TCH Other,1,Sydney Region,Campbelltown,02 4646 1899 - Kylie Hedger,Elizabeth Macarthur High School,Macarthur,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-above-centrally-identified-position-elizabeth-macarthur-high-school-110981,,000065JC,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary (Above Centrally Identified Position) - Elizabeth Macarthur High School
Schools | TCH Other,1,Sydney Region,Campbelltown,02 4646 1899 - Kylie Hedger,Elizabeth Macarthur High School,Macarthur,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-elizabeth-macarthur-high-school-110982,,00006321,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary - Elizabeth Macarthur High School
Schools | Teachers,1,Central & North Coasts - Newcastle & Hunter Valley,Newcastle,02 4952 3977 - Carla Bertram,Lambton High School,Newcastle,https://iworkfor.nsw.gov.au/job/teacher-technology-lambton-high-school-110983,,0000637Q,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Technology - Lambton High School
