Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Schools | TCH Other,1,Sydney Region,Bankstown,Revesby Public School,Bankstown,https://iworkfor.nsw.gov.au/job/assistant-principal-revesby-public-school-110148,,000062CS,02 9773 8255 - Narelle Nies,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Revesby Public School
Schools | Teachers,1,Sydney Region,Granville,Birrong Boys High School,Bankstown,https://iworkfor.nsw.gov.au/job/teacher-mathematics-birrong-boys-high-school-110149,,0000633E,02 9644 5200 - Cathy Scott,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Mathematics - Birrong Boys High School
Schools | Teachers,1,Sydney Region,Campbelltown,Wilton Public School,Wollondilly,https://iworkfor.nsw.gov.au/job/teacher-wilton-public-school-110151,,0000650W,02 4630 8006 - Debra Gray,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Wilton Public School
Schools | Teachers,1,Sydney Region,Liverpool,Sadleir Public School,Liverpool,https://iworkfor.nsw.gov.au/job/teacher-librarian-0-8fte-sadleir-public-school-110153,,000063EP,02 9607 8201 - Mrs Tracie Carruthers,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",0.800,23/05/2018 - 04:00 PM,Teaching Service,Teacher Librarian (0.8FTE) - Sadleir Public School
Schools | TCH Other,1,Sydney Region,Penrith,Blaxland High School,Blue Mountains,https://iworkfor.nsw.gov.au/job/head-teacher-science-blaxland-high-school-110154,,00006288,02 4739 4655 - Nicolette Tunica,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Science - Blaxland High School
Schools | Teachers,1,Sydney Region,Northern Beaches,Northern Beaches Secondary College Balgowlah Boys Campus,Warringah,https://iworkfor.nsw.gov.au/job/teacher-english-northern-beaches-secondary-college-balgowlah-boys-campus-110156,,000064VQ,02 99494200 - Ian James,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher English - Northern Beaches Secondary College Balgowlah Boys Campus
Schools | Teachers,2,Sydney Region,Bankstown,Panania North Public School,Bankstown,https://iworkfor.nsw.gov.au/job/teacher-panania-north-public-school-110158,,0000629A,02 9773 8394 - Samantha Loveridge,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Panania North Public School
Schools | Teachers,1,Sydney Region,Liverpool,Bonnyrigg Heights Public School,Liverpool,https://iworkfor.nsw.gov.au/job/teacher-community-languages-vietnamese-0-6-fte-bonnyrigg-heights-public-school-110159,,000063P3,9823 7000 - Daryl McKay,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",0.600,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Community Languages (Vietnamese) 0.6 FTE - Bonnyrigg Heights Public School
Schools | Teachers,1,Regional NSW,Taree,Great Lakes College Forster Campus,Great Lakes,https://iworkfor.nsw.gov.au/job/teacher-science-great-lakes-college-forster-campus-110160,,000063QJ,02 6554 6062 - Michael Adams,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Science - Great Lakes College Forster Campus
Schools | Teachers,1,Sydney Region,Ryde,North Sydney Boys High School,North Sydney,https://iworkfor.nsw.gov.au/job/teacher-technology-north-sydney-boys-high-school-110161,,000065MI,02 9955 4748 - Matthew Dopierala,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Technology - North Sydney Boys High School
Schools | TCH Other,1,Sydney Region,Blacktown,Kellyville Ridge Public School,The Hills,https://iworkfor.nsw.gov.au/job/assistant-principal-kellyville-ridge-public-school-110162,,000064LJ,02 8883 0480 - Debra Edwards,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Kellyville Ridge Public School
Schools | TCH Other,1,Regional NSW,Tweed Heads/Ballina,Southern Cross School of Distance Education,Richmond Valley,https://iworkfor.nsw.gov.au/job/head-teacher-teaching-and-learning-southern-cross-school-of-distance-education-110164,,000062G7,0266810300 - David Thick,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Teaching and Learning - Southern Cross School of Distance Education
Schools | TCH Other,1,Regional NSW,Tamworth,Peel High School,Tamworth,https://iworkfor.nsw.gov.au/job/head-teacher-human-society-and-its-environment-peel-high-school-110166,,0000633D,67657008 - Rod Jones,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Human Society and its Environment - Peel High School
Schools | Teachers,1,Sydney Region,Northern Beaches,Northern Beaches Secondary College Balgowlah Boys Campus,The Beaches,https://iworkfor.nsw.gov.au/job/teacher-science-northern-beaches-secondary-college-balgowlah-boys-campus-110167,,000065EK,02 99494200 - Anna Diggin,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Science - Northern Beaches Secondary College Balgowlah Boys Campus
Schools | TCH Other,1,Sydney Region,Parramatta,Carlingford West Public School,Parramatta,https://iworkfor.nsw.gov.au/job/assistant-principal-carlingford-west-public-school-110169,,000064JS,02 9871 7187 - Greg Bass,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Carlingford West Public School
Schools | Teachers,1,Sydney Region,Northern Beaches,Northern Beaches Secondary College Balgowlah Boys Campus,Warringah,https://iworkfor.nsw.gov.au/job/teacher-mathematics-science-northern-beaches-secondary-college-balgowlah-boys-campus-110171,,000064FE,02 99494200 - Anna Diggin,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Mathematics/Science - Northern Beaches Secondary College Balgowlah Boys Campus
Schools | TCH Other,1,Regional NSW,Tweed Heads/Ballina,Southern Cross School of Distance Education,Richmond Valley,https://iworkfor.nsw.gov.au/job/head-teacher-science-southern-cross-school-of-distance-education-110173,,000062G2,66810300 - Sharon Hodgson,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Science - Southern Cross School of Distance Education
Schools | TCH Other,1,Sydney Region,Hornsby,Pennant Hills High School,Dural,https://iworkfor.nsw.gov.au/job/head-teacher-science-pennant-hills-high-school-110174,,000063JA,02 9473 5000 - Ross Warren,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Science - Pennant Hills High School
Schools | TCH Other,1,Illawarra & South Coast,Shellharbour,Bowral Public School,Wollondilly,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-bowral-public-school-110175,,000063RQ,02 4861 1086 - Wendy Buckley,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Primary - Bowral Public School
Schools | TCH Other,1,Regional NSW,Wagga Wagga,Temora High School,Cootamundra,https://iworkfor.nsw.gov.au/job/head-teacher-mathematics-temora-high-school-110176,,000062ZU,02 6977 1988 - Patrick Nethery,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Mathematics - Temora High School
Schools | TCH Other,1,Sydney Region,Northern Beaches,The Forest High School,The Forest,https://iworkfor.nsw.gov.au/job/head-teacher-english-the-forest-high-school-110177,,00006547,02 9451 5111 - Rosemary McDowall,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher English - The Forest High School
Schools | Teachers,1,Illawarra & South Coast,Wollongong,Illawarra Sports High School,Wollongong,https://iworkfor.nsw.gov.au/job/teacher-human-society-and-its-environment-illawarra-sports-high-school-110178,,000063B5,02 4271 1099 - Michael Owen,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Human Society and Its Environment - Illawarra Sports High School
Schools | TCH Other,1,Sydney Region,Blacktown,The Ponds School,The Hills,https://iworkfor.nsw.gov.au/job/deputy-principal-special-education-general-the-ponds-school-110179,,000063J2,02 9629 2470 - Leonie Donldson,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Special Education - General - The Ponds School
Schools | TCH Other,1,Sydney Region,Blacktown,Riverbank Public School,The Hills,https://iworkfor.nsw.gov.au/job/assistant-principal-riverbank-public-school-110180,,000061MV,96267511 - Jeanie Brown,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Riverbank Public School
Schools | Teachers,1,Sydney Region,Port Jackson,Marrickville High School,Marrickville,https://iworkfor.nsw.gov.au/job/teacher-librarian-marrickville-high-school-110181,,000063ZD,02 9569 2444 - Arety Dassaklis,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Librarian - Marrickville High School
Schools | Teachers,1,Central & North Coasts - Newcastle & Hunter Valley,Central Coast,Wyong High School,Wyong,https://iworkfor.nsw.gov.au/job/teacher-technology-wyong-high-school-110183,,000062QW,02 4353 1088 - Raity Batha,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Technology - Wyong High School
Schools | TCH Other,1,Sydney Region,Ryde,Hunters Hill High School,Ryde,https://iworkfor.nsw.gov.au/job/head-teacher-science-hunters-hill-high-school-110184,,000065UZ,9817 4565 - Jo Harris,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Science - Hunters Hill High School
Schools | TCH Other,1,Sydney Region,Fairfield,Yennora Public School,Fairfield,https://iworkfor.nsw.gov.au/job/assistant-principal-special-education-general-yennora-public-school-110185,,0000630T,02 9632 8660 - Anja Schuette,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal Special Education - General - Yennora Public School
Schools | Teachers,2,Sydney Region,Parramatta,Parramatta North Public School,Parramatta,https://iworkfor.nsw.gov.au/job/teacher-parramatta-north-public-school-110186,,000063HI,02 9630 1768 - Kathryn Methven,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Parramatta North Public School
Schools | Teachers,1,Regional NSW,Taree,Great Lakes College Forster Campus,Great Lakes,https://iworkfor.nsw.gov.au/job/teacher-mathematics-great-lakes-college-forster-campus-110187,,000063YR,02 6554 6062 - Jennifer Miggins,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Mathematics - Great Lakes College Forster Campus
Schools | Teachers,1,Sydney Region,Liverpool,Prestons Public School,Liverpool,https://iworkfor.nsw.gov.au/job/teacher-prestons-public-school-110189,,0000649O,02 9602 7435 - Elizabeth Van Der Meulen,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Prestons Public School
Schools | TCH Other,1,Illawarra & South Coast,Wollongong,Hayes Park Public School,Wollongong,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-hayes-park-public-school-110191,,000064WI,0412 673 378 - Phil Seymour,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Deputy Principal Primary - Hayes Park Public School
Schools | Teachers,1,Sydney Region,Granville,Birrong Boys High School,Bankstown,https://iworkfor.nsw.gov.au/job/teacher-personal-development-health-physical-education-birrong-boys-high-school-110192,,0000633H,02 9644 5200 - Darren Stevens,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,"Teacher Personal Development, Health & Physical Education - Birrong Boys High School"
Schools | TCH Other,1,Sydney Region,Mount Druitt,Doonside Public School,Eastern Creek,https://iworkfor.nsw.gov.au/job/assistant-principal-doonside-public-school-110193,,000061N6,02 9622 3575 - David Galea,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Doonside Public School
Schools | TCH Other,1,Regional NSW,Clarence/Coffs Harbour,Grafton Public School,Grafton,https://iworkfor.nsw.gov.au/job/assistant-principal-special-education-general-grafton-public-school-110194,,000065M2,02 6642 1000 - Ms. Bianca Rhodes,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal Special Education - General - Grafton Public School
Schools | Teachers,1,Sydney Region,Bondi,J J Cahill Memorial High School,Botany Bay,https://iworkfor.nsw.gov.au/job/teacher-technology-j-j-cahill-memorial-high-school-110195,,000063T0,02 9669 5118 - John Mifsud,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Technology - J J Cahill Memorial High School
