Job Category:,Number of Positions:,Job Location:,Contact:,url_link,Work Type:,Job Reference Number:,Closing Date:,Total Remuneration Package:,Contact Email:,Organisation/Entity:,job_title
Health - Allied | Occupational Therapy,2,Sydney Region / Sydney - West,,https://iworkfor.nsw.gov.au/job/senior-mental-health-clinician-actt-109946,Full-Time,REQ40547,21/05/2018 - 11:59 PM,"$103,441.00 - $106,026.00",,Western Sydney Local Health District,Senior Mental Health Clinician - ACTT
Human Resources and Recruitment | Occupational Health and Safety,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/rehabilitation-consultant-109945,Full-Time,REQ39401,22/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,Northern Sydney Local Health District,Rehabilitation Consultant
Nursing and Midwifery | Nursing Unit Manager,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,https://iworkfor.nsw.gov.au/job/operating-theatre-clinical-floor-coordinator-num-lismore-109939,Full-Time,REQ36542,22/05/2018 - 11:59 PM,"$107,613.08 - $107,613.08",,Northern NSW Local Health District,Operating Theatre Clinical Floor Coordinator (NUM) - Lismore
Research and Analysis | Analysis,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/performance-analyst-nap-data-manager-109932,Full-Time,REQ36374,22/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,Northern Sydney Local Health District,Performance Analyst / NAP Data Manager
Health - Allied | Pharmacy,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/critical-care-pharmacist-109934,Full-Time,REQ34127,22/05/2018 - 11:59 PM,"$112,356.11 - $115,481.61",,Northern Sydney Local Health District,Critical Care Pharmacist
Policy,1,Sydney Region / Sydney - East,(02) 9707 6950 - Ross Morrison,https://iworkfor.nsw.gov.au/job/premier-s-sport-challenge-partnerships-officer-clerk-grade-9-10-205656-109924,Full-Time,000065BW,22/05/2018 - 11:59 PM,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,Department of Education,Premier's Sport Challenge Partnerships Officer - Clerk Grade 9/10 - 205656
Information and Communications Technology | Web Development,1,Sydney Region / Sydney - Greater West,(02) 9561 1075 - Chris Pigden,https://iworkfor.nsw.gov.au/job/test-analyst-clerk-grade-7-8-192985-109928,Full-Time,000065EH,22/05/2018 - 11:59 PM,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,Department of Education,Test Analyst - Clerk Grade 7/8 - 192985
Research and Analysis | Research,1,Sydney Region / Sydney City,"(02) 8061 9337 - Fiona Rafter, Inspector of Custodial Services",https://iworkfor.nsw.gov.au/job/inspection-and-research-officer-clerk-grade-7-8-inspector-of-custodial-services-109929,Full-Time,0000647Y,22/05/2018 - 11:59 PM,"Maximum Total Remuneration Package: $113,454. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,Justice Services,"Inspection and Research Officer, Clerk Grade 7/8, Inspector of Custodial Services"
Administration and Clerical | General Administration,1,Sydney Region / Sydney City,02 8346 1028 - Sandra.Crawford@justice.nsw.gov.au,https://iworkfor.nsw.gov.au/job/manager-state-wide-reforms-clerk-grade-11-12-ongoing-statewide-operations-sydney-109921,Full-Time,000065P1,22/05/2018 - 11:59 PM,"including salary range $121,917 to $140,996, employers contribution to superannuation and leave loading.and annual leave loading.",,Corrective Services NSW,"Manager State-Wide Reforms, Clerk Grade 11/12, Ongoing, Statewide Operations, Sydney"
Policy | Advisory,1,Sydney Region / Sydney - West,(02) 9707 6950 - Ross Morrison,https://iworkfor.nsw.gov.au/job/school-sport-policy-advisor-clerk-grade-11-12-192692-109922,Full-Time,000065GA,22/05/2018 - 11:59 PM,"$156,294. Package includes salary ($121,917 - $140,996), employer's contribution to superannuation and annual leave loading.",,Department of Education,School Sport Policy Advisor - Clerk Grade 11/12 - 192692
"Media, Publicity and Communications | Communications",1,Sydney Region / Sydney - Greater West|| Sydney Region / Sydney - East,02 9244 5264 - Derek Schwarz,https://iworkfor.nsw.gov.au/job/communications-coordinator-clerk-grade-9-10-203656-109930,Full-Time,000065PU,22/05/2018 - 11:59 PM,"128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,Department of Education,"Communications Coordinator, Clerk Grade 9/10 - 203656"
"Media, Publicity and Communications | Public Relations",1,Sydney Region / Sydney - Inner West,0435 965 912 - Ashleigh Tratt,https://iworkfor.nsw.gov.au/job/senior-communications-officer-109917,Full-Time,00006618,21/05/2018 - 11:59 PM,"Transport Service Grade 9 ($126,194 - $141,336), plus employer's contribution to superannuation and annual leave loading.",,Customer Services Division,Senior Communications Officer
"Media, Publicity and Communications | Public Relations",1,Sydney Region / Sydney - Inner West,0435 965 912 - Ashleigh Tratt,https://iworkfor.nsw.gov.au/job/communications-officer-109916,Full-Time,00006613,21/05/2018 - 11:59 PM,"Transport Service Grade 7 ($96,542 - $108,127), plus employer's contribution to superannuation and annual leave loading.",,Customer Services Division,Communications Officer
Senior Executive,1,Sydney Region / Sydney City,02 9228 3478 - James Serafine,https://iworkfor.nsw.gov.au/job/executive-director-human-resources-109911,Full-Time,000065SU,21/05/2018 - 11:59 PM,Competitive salary on offer,,The Treasury,Executive Director Human Resources
Population Health | Health Education Officer,1,Sydney Region / Sydney - West,,https://iworkfor.nsw.gov.au/job/senior-health-promotion-officer-healthy-children-initiative-liverpool-hospital-perm-f-t-109910,Full-Time,REQ39953,20/05/2018 - 11:59 PM,"$96,881.00 - $104,911.00",,South Western Sydney Local Health District,Senior Health Promotion Officer (Healthy Children Initiative)  - Liverpool Hospital - Perm F/T
